,Permno,Ticker,B/P,Mktcap,Ret
1048,1049,MXC,0.3597122302158274,33.86,0.9126000000000001
1049,1050,MYE,0.27322404371584696,806.46,0.11560000000000001
1050,1051,MYFW,0.8333333333333334,262.39,0.1351
1051,1052,MYRG,0.35211267605633806,1.51,0.0213
1053,1054,NAAC,0.7692307692307692,467.28,0.018600000000000002
1055,1056,NAOV,0.2617801047120419,19.9,0.0377
1056,1057,NBHC,0.6802721088435374,1.16,0.16870000000000002
1057,1058,NBIX,0.15151515151515152,9.12,0.028399999999999998
1058,1059,NBN,0.8403361344537815,291.77,0.3078
1059,1060,NBR,0.5524861878453039,1.08,0.3865
1060,1061,NBTB,0.7142857142857143,1.63,0.1841
1061,1062,NC,1.2658227848101264,281.13,0.6705
1062,1063,NDAC,0.7633587786259541,431.66,0.0005
1064,1065,NE,0.8130081300813008,1.68,0.267
1065,1066,NECB,1.3513513513513513,198.0,0.16469999999999999
1066,1067,NEE,0.23148148148148145,157.86,0.0252
1068,1069,NEP,0.48309178743961356,6.29,0.042300000000000004
1070,1071,NEX,0.26666666666666666,2.18,1.4344999999999999
1072,1073,NFE,0.23809523809523808,8.63,0.34840000000000004
1073,1074,NFG,0.3058103975535168,6.05,0.3378
1074,1075,NGG,0.5813953488372093,48.03,0.045599999999999995
1075,1076,NGS,1.7241379310344829,131.18,0.2029
1076,1077,NGVC,0.4081632653061224,367.3,0.5289
1077,1078,NI,0.48780487804878053,11.54,0.1418
1078,1079,NIC,0.8130081300813008,986.69,0.0949
1080,1081,NJR,0.42194092827004215,4.19,0.1618
1081,1082,NL,0.8547008547008548,427.75,0.45539999999999997
1083,1084,NLSN,0.39370078740157477,8.5,0.0362
1085,1086,NMM,2.6315789473684212,658.44,0.0655
1086,1087,NNI,0.8771929824561404,3.42,0.2645
1087,1088,NOAC,0.7751937984496123,284.91,0.011200000000000002
1088,1089,NOC,0.186219739292365,70.76,0.2884
1090,1091,NOV,0.8474576271186441,5.89,0.1405
1091,1092,NPTN,0.1811594202898551,840.08,0.8194
1092,1093,NR,1.4925373134328357,303.79,0.2186
1093,1094,NRAC,0.7751937984496123,296.67,0.0031
1094,1095,NREF,1.25,305.8,0.0951
1097,1098,NRIM,0.9090909090909091,235.3,0.0327
1098,1099,NRP,0.625,489.13,0.9181
1099,1100,NRT,0.0018461424852770137,145.6,1.4962
1100,1101,NRZ,1.25,4.57,0.0784
1101,1102,NSP,0.008742022904100009,3.89,0.1317
1102,1103,NSSC,0.11547344110854503,875.29,0.4861
1103,1104,NSYS,0.7633587786259541,35.95,0.3077
1104,1105,NTB,0.5847953216374269,1.64,0.0195
1105,1106,NTCT,0.8474576271186441,2.25,0.1776
1107,1108,NTR,0.7407407407407407,56.26,0.3641
1108,1109,NTUS,0.3831417624521073,1.14,0.3704
1109,1110,NUE,0.47846889952153115,30.64,0.302
1110,1111,NURO,0.9174311926605504,27.92,0.1748
1111,1112,NVEE,0.3484320557491289,1.87,0.3502
1112,1113,NVGS,1.36986301369863,806.68,0.1841
1113,1114,NVMI,0.1773049645390071,2.72,0.06
1114,1115,NVO,0.034013605442176874,193.12,0.31120000000000003
1115,1116,NVSA,0.7633587786259541,339.48,0.0165
1116,1117,NVST,0.6211180124223602,6.25,0.0005
1117,1118,NVT,0.47619047619047616,5.2,0.10490000000000001
1118,1119,NWG,1.4705882352941175,27.88,0.0746
1119,1120,NWN,0.591715976331361,1.81,0.0383
1120,1121,NWPX,0.970873786407767,286.57,0.0907
1121,1122,NX,0.5586592178770949,771.54,0.0288
1122,1123,NXDT,1.5625,576.8,0.20120000000000002
1123,1124,NXE,0.2188183807439825,2.5,0.1275
1124,1125,NXGN,0.3508771929824561,1.18,0.1322
1125,1126,NXRT,0.32573289902280134,1.56,0.0588
1126,1127,NXST,0.4048582995951417,6.85,0.2857
1127,1128,O,0.6134969325153374,41.04,0.053399999999999996
1128,1129,OBCI,0.3921568627450981,122.99,0.1124
1129,1130,OBE,1.25,830.53,2.0944
1130,1131,OBNK,0.7092198581560284,928.97,0.0216
1131,1132,OCFC,1.3157894736842106,1.13,0.0489
1132,1133,OCN,1.7857142857142856,283.08,0.32539999999999997
1133,1134,OCSL,1.075268817204301,1.22,0.025699999999999997
1134,1135,ODFL,0.11312217194570136,30.15,0.08199999999999999
1135,1136,OFG,0.7751937984496123,1.27,0.3493
1136,1137,OFS,1.36986301369863,139.56,0.1818
1137,1138,OGE,0.5405405405405405,7.82,0.18280000000000002
1139,1140,OGS,0.5524861878453039,4.37,0.1264
1142,1143,OKE,0.2293577981651376,25.67,0.1625
1143,1144,OLN,0.3676470588235294,7.43,0.19649999999999998
1144,1145,OMAB,0.15479876160990713,1.99,0.1177
1145,1146,ON,0.19646365422396858,24.62,0.6896
1147,1148,ONTO,0.3861003861003861,3.66,0.2047
1148,1149,OPA,0.7092198581560284,244.9,0.0177
1149,1150,OPBK,1.0204081632653061,161.03,0.12210000000000001
1150,1151,OPCH,0.2159827213822894,5.26,0.565
1152,1153,OPOF,0.9009009009009008,116.3,0.045899999999999996
1154,1155,ORA,0.41493775933609955,4.45,0.2211
1155,1156,ORI,0.9900990099009901,6.87,0.013300000000000001
1157,1158,ORRF,0.9433962264150942,266.28,0.10890000000000001
1158,1159,OSBC,0.7194244604316548,621.29,0.1956
1159,1160,OTIC,0.2881844380403458,118.06,0.25420000000000004
1160,1161,OTTR,0.37593984962406013,2.76,0.364
1161,1162,OVBC,0.970873786407767,141.64,0.26940000000000003
1162,1163,OVV,0.4,11.29,0.836
1163,1164,OXM,0.3448275862068966,1.42,0.0463
1164,1165,OXY,0.2577319587628866,57.39,1.531
1165,1166,PAA,1.0204081632653061,7.35,0.1234
1166,1167,PAC,0.1400560224089636,5.85,0.33020000000000005
1167,1168,PAG,0.47619047619047616,8.36,0.48109999999999997
1168,1169,PAGP,0.7246376811594204,2.08,0.0915
1169,1170,PAM,1.4084507042253522,2.66,0.37520000000000003
1170,1171,PANL,1.2987012987012987,205.5,0.08710000000000001
1171,1172,PANW,0.006639224538573895,49.26,0.3188
1172,1173,PAQC,0.7518796992481203,283.74,0.024900000000000002
1173,1174,PARR,0.13717421124828533,918.01,0.1359
1174,1175,PAYX,0.0764525993883792,42.32,0.0892
1175,1176,PB,1.0101010101010102,6.26,0.0377
1176,1177,PBA,0.5988023952095809,20.1,0.1977
1177,1178,PBF,0.5617977528089888,3.3,2.0032
1178,1179,PBFX,0.2597402597402597,1.03,0.2612
1179,1180,PBH,0.53475935828877,2.89,0.1274
1180,1181,PBHC,0.9523809523809523,88.82,0.2987
1183,1184,PBR,1.0526315789473684,71.83,0.19760000000000003
1184,1185,PBR-A,5.2631578947368425,60.11,0.1284
1185,1186,PBT,0.0005724098454493417,825.28,2.7569999999999997
1186,1187,PCB,0.9259259259259258,275.49,0.18719999999999998
1187,1188,PCG,1.0101010101010102,25.56,0.1607
1189,1190,PCSB,1.0204081632653061,288.17,0.0362
1190,1191,PCVX,0.2544529262086514,1.41,0.0747
1191,1192,PDCE,0.47393364928909953,5.88,0.7012999999999999
1192,1193,PDCO,0.3484320557491289,2.93,0.0271
1193,1194,PDFS,0.24449877750611249,822.92,0.2994
1194,1195,PDS,1.1111111111111112,782.39,0.9137000000000001
1195,1196,PEBK,0.8403361344537815,153.16,0.09910000000000001
1196,1197,PECO,0.5555555555555556,3.9,0.2667
1197,1198,PEG,0.4484304932735426,30.06,0.0037
1198,1199,PEO,0.9345794392523364,474.95,0.41490000000000005
1199,1200,PEP,0.07892659826361484,234.51,0.0915
1200,1201,PERI,0.5882352941176471,853.69,0.0684
1202,1203,PFBC,0.5681818181818182,1.01,0.22010000000000002
1203,1204,PFC,1.0,908.22,0.0088
1204,1205,PFE,0.2857142857142857,286.23,0.27949999999999997
1205,1206,PFG,0.7194244604316548,15.74,0.0789
1206,1207,PFGC,0.41493775933609955,7.57,0.1566
1207,1208,PFHD,0.8130081300813008,280.36,0.1333
1208,1209,PFIE,0.7462686567164178,59.4,0.16820000000000002
1209,1210,PFIS,0.8547008547008548,365.93,0.2353
1211,1212,PFS,0.9174311926605504,1.72,0.10310000000000001
1212,1213,PG,0.12903225806451613,346.07,0.0256
1213,1214,PGC,0.9523809523809523,530.06,0.005699999999999999
1214,1215,PGR,0.2531645569620253,63.37,0.2014
1215,1216,PHI,0.3448275862068966,6.4,0.1553
1216,1217,PHUN,0.3861003861003861,140.22,0.3084
1217,1218,PHVS,0.25252525252525254,768.67,0.5315
1218,1219,PHX,0.7936507936507936,109.19,0.06509999999999999
1221,1222,PINC,0.5050505050505051,4.36,0.0576
1222,1223,PIPP,0.9433962264150942,270.37,0.0143
1223,1224,PIPR,0.6369426751592356,1.89,0.013500000000000002
1225,1226,PKBK,0.9523809523809523,247.75,0.1168
