No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
625,FRO,1.99B,-,5.68,-,2.58,1.15,17.50,-,-102.70%,71.87%,-15.70%,-,-0.10%,9.39,-1.21%,"1,756,534"
626,FRPH,571.93M,1123.15,-,-,16.77,1.43,3.48,173.31,126.90%,-,77.70%,-7.00%,26.80%,60.48,-0.28%,"1,309"
627,FSK,5.93B,2.41,8.06,-,5.48,0.77,-,-,-2.20%,-4.40%,-12.55%,-0.90%,-,20.89,0.43%,"507,241"
628,FSSI,318.91M,55.28,-,-,-,1.31,1594.57,-,-,-,-,-,-,9.84,0.00%,"150,162"
629,FSTA,-,-,-,-,-,-,-,-,-,-,-,-,-,43.74,-0.30%,"16,632"
630,FTA,-,-,-,-,-,-,-,-,-,-,-,-,-,64.40,0.18%,"21,052"
631,FTGC,-,-,-,-,-,-,-,-,-,-,-,-,-,26.15,0.04%,"572,230"
632,FTLS,-,-,-,-,-,-,-,-,-,-,-,-,-,48.78,0.02%,"15,865"
633,FTNT,45.48B,77.28,47.67,9.31,12.68,219.26,21.24,37.48,24.70%,21.53%,81.90%,8.30%,21.20%,60.24,1.76%,"1,843,347"
634,FTS,29.44B,17.97,15.67,3.91,3.02,1.25,80.66,-,0.50%,6.41%,6.90%,4.59%,6.70%,46.14,-0.84%,"232,125"
635,FTXH,-,-,-,-,-,-,-,-,-,-,-,-,-,26.39,-0.36%,"8,558"
636,FTXN,-,-,-,-,-,-,-,-,-,-,-,-,-,24.19,1.00%,"103,345"
637,FULT,2.31B,9.47,8.59,1.18,3.25,1.01,1.90,-,50.60%,9.81%,11.90%,8.00%,3.70%,15.75,5.63%,"675,234"
638,FUN,2.30B,-,9.81,-,1.61,-,46.02,20.66,91.80%,1.11%,-17.80%,-2.12%,0.80%,41.18,2.23%,"199,698"
639,FUNC,116.67M,5.20,4.88,-,2.00,0.84,1.53,11.44,49.10%,1.43%,28.50%,-,4.90%,17.31,0.00%,190
640,FUTY,-,-,-,-,-,-,-,-,-,-,-,-,-,44.58,-0.36%,"123,441"
641,FWONA,27.57B,-,91.09,-,11.91,2.10,12.17,67.58,68.20%,214.65%,-17.20%,-,-,57.24,0.86%,"29,961"
642,FWONK,12.61B,15465.00,96.66,-,5.90,2.21,-,-,126.80%,190.90%,-,-,-,62.42,0.91%,"233,091"
643,FWRD,2.52B,18.40,14.08,1.40,1.42,4.22,40.86,-,123.50%,5.66%,36.20%,13.16%,11.10%,96.21,0.48%,"32,284"
644,FXG,-,-,-,-,-,-,-,-,-,-,-,-,-,62.31,-0.16%,"33,991"
645,FXN,-,-,-,-,-,-,-,-,-,-,-,-,-,15.49,1.18%,"290,732"
646,FXP,-,-,-,-,-,-,-,-,-,-,-,-,-,35.70,1.26%,"6,376"
647,FXU,-,-,-,-,-,-,-,-,-,-,-,-,-,32.08,-0.28%,"15,670"
648,FXZ,-,-,-,-,-,-,-,-,-,-,-,-,-,58.02,0.00%,"76,339"
649,GAIN,490.44M,4.42,16.05,1.47,7.00,1.11,-,-,104.40%,0.00%,3.18%,3.00%,-,14.81,0.30%,"41,418"
650,GASS,99.41M,-,3.84,-,0.67,0.20,1.41,2.28,-396.90%,28.80%,-36.50%,5.10%,0.80%,2.59,0.78%,"100,483"
651,GATX,3.39B,19.36,15.00,1.61,2.67,1.69,5.22,-,-6.30%,13.60%,-8.80%,12.00%,-2.40%,97.91,-0.20%,"33,285"
652,GAZ,-,-,-,-,-,-,-,-,-,-,-,-,-,38.35,0.75%,"3,775"
653,GBNY,27.61M,18.19,-,-,2.05,0.62,1.06,11.05,-15.50%,-,3.60%,-,3.90%,11.23,0.00%,0
654,GBT,2.20B,-,-,-,10.42,16.89,3.97,-,-19.30%,41.40%,-14.20%,37.00%,-,35.18,0.60%,"238,503"
655,GCBC,443.91M,14.70,-,-,7.16,2.70,2.84,14.80,28.10%,-,21.60%,-,15.20%,48.95,-1.53%,"30,116"
656,GCC,-,-,-,-,-,-,-,-,-,-,-,-,-,22.68,0.14%,"125,318"
657,GCO,771.23M,7.44,7.06,0.74,0.32,1.25,3.84,16.62,301.00%,10.62%,16.90%,10.00%,3.70%,58.34,0.76%,"67,550"
658,GCP,2.34B,143.06,37.36,-,2.38,3.52,4.96,-,-78.70%,30.77%,-5.60%,-,-1.50%,31.70,-0.17%,"171,927"
659,GD,58.97B,18.38,15.25,1.56,1.53,3.30,20.28,14.73,5.00%,15.98%,6.00%,11.75%,4.70%,215.68,0.47%,"226,465"
660,GDMA,-,-,-,-,-,-,-,-,-,-,-,-,-,31.33,-0.17%,"13,544"
661,GEF,3.16B,9.17,9.17,0.92,0.50,1.91,29.07,11.41,248.60%,-4.99%,38.70%,10.00%,10.80%,66.18,-0.20%,"89,462"
662,GEO,828.52M,12.83,5.73,0.86,0.37,0.81,1.38,3.70,-31.90%,-2.98%,-13.60%,15.00%,0.70%,6.90,0.14%,"264,844"
663,GER,193.52M,-,-,-,-,-,-,-,-,-,-,-,-,12.01,0.46%,"20,595"
664,GERN,694.54M,-,-,-,496.10,6.34,4.17,-,-27.20%,0.00%,-13.80%,5.00%,-25.70%,1.93,5.00%,"1,172,968"
665,GFF,1.55B,14.40,7.03,0.71,0.65,1.58,12.67,-,41.60%,4.75%,24.40%,20.41%,9.00%,27.03,0.33%,"96,377"
666,GFX,426.20M,39.50,-,-,-,1.31,2131.02,-,281.30%,-,-,-,-,9.88,0.05%,100
667,GII,-,-,-,-,-,-,-,-,-,-,-,-,-,53.45,-0.45%,"7,123"
668,GIS,44.28B,16.82,17.52,3.49,2.33,4.26,77.77,29.46,16.90%,6.18%,9.80%,4.82%,4.00%,73.73,-0.86%,"1,169,897"
669,GL,9.75B,14.04,10.87,0.95,1.89,1.45,76.41,7.21,5.80%,15.32%,10.40%,14.72%,5.40%,99.92,-0.58%,"119,583"
670,GLL,-,-,-,-,-,-,-,-,-,-,-,-,-,35.47,0.62%,"11,147"
671,GLNG,2.35B,6.64,21.81,1.66,5.78,1.17,2.34,14.00,-41.60%,-23.38%,6.40%,4.00%,41.30%,22.43,-0.04%,"459,019"
672,GLOP,281.01M,-,3.65,-,0.87,0.48,-,1.48,-190.40%,-2.99%,-17.30%,-11.10%,0.50%,5.45,-2.15%,"65,285"
673,GLP,841.25M,11.17,9.41,-,0.06,2.18,77.89,-,-52.10%,-21.74%,17.30%,-,10.00%,25.47,0.28%,"30,738"
674,GLPI,12.46B,23.12,19.37,2.46,10.14,4.02,79.90,84.33,-1.70%,10.40%,7.80%,9.38%,8.00%,50.91,0.24%,"536,348"
675,GMOM,-,-,-,-,-,-,-,-,-,-,-,-,-,29.08,-0.23%,"7,708"
676,GMS,2.01B,7.54,6.66,0.28,0.43,1.90,19.69,14.49,155.80%,-6.19%,39.20%,26.90%,14.90%,47.01,0.02%,"117,933"
677,GNAC,283.04M,182.31,-,-,-,1.31,2830.44,-,-,-,-,-,-,9.85,0.00%,0
678,GNE,244.18M,5.71,-,-,0.75,1.97,2.75,2.65,119.80%,-,22.70%,-,-,9.32,1.41%,"17,572"
679,GNFT,187.57M,3.83,-,-,2.19,5.75,0.84,-,146.40%,-,29.40%,-,66.10%,4.26,3.90%,"30,611"
680,GNK,757.16M,3.60,4.17,-,1.27,0.84,17.57,3.33,179.40%,-12.03%,16.50%,-,32.20%,18.63,-0.36%,"345,539"
681,GNR,-,-,-,-,-,-,-,-,-,-,-,-,-,50.95,0.04%,"89,926"
682,GNTY,420.37M,11.21,10.81,-,4.13,1.51,1.89,10.83,45.80%,2.60%,26.00%,-,9.60%,36.45,0.50%,"3,904"
683,GNW,2.03B,2.44,4.25,0.49,0.26,0.14,1.57,3.43,26.00%,-2.33%,40.40%,5.00%,-1.40%,4.04,-1.22%,"575,594"
684,GO,4.30B,81.77,39.49,6.63,1.36,4.25,31.15,76.21,-42.20%,17.68%,39.40%,12.33%,11.00%,45.26,0.09%,"263,969"
685,GOAC,718.34M,41.82,-,-,-,1.31,7183.41,-,297.70%,-,-,-,-,9.99,0.00%,"10,637"
686,GOGL,2.10B,3.52,6.03,-,1.60,1.18,-,18.05,384.30%,-20.91%,32.20%,-,36.20%,10.80,-1.88%,"1,289,492"
687,GOGO,1.96B,21.33,19.32,2.13,5.53,-,12.84,48.80,308.50%,25.83%,22.70%,10.00%,-10.90%,15.47,0.19%,"137,334"
688,GOSS,922.03M,-,-,-,-,29.97,3.39,-,12.00%,14.60%,-,5.20%,-,12.10,0.92%,"553,356"
689,GPC,19.81B,21.96,17.02,4.77,1.01,5.60,32.43,33.41,451.00%,6.41%,6.30%,4.60%,4.20%,141.52,-0.19%,"205,454"
690,GPI,2.86B,4.38,4.64,0.38,0.20,1.51,172.35,2.64,120.90%,-10.10%,38.70%,11.40%,4.40%,171.26,-3.62%,"48,936"
691,GPK,6.41B,24.99,8.98,0.91,0.83,3.31,57.74,13.84,14.40%,10.23%,-0.70%,27.51%,10.70%,20.92,0.12%,"785,447"
692,GPOR,1.71B,-,3.53,-,6.74,35.09,289.74,6.50,164.10%,19.02%,23.00%,-,16.00%,84.55,1.25%,"23,252"
693,GPP,294.20M,7.35,-,0.49,3.82,126.70,19.61,15.57,-2.10%,-,-0.50%,15.00%,-5.40%,12.80,1.03%,"6,132"
694,GPRE,1.64B,-,14.23,-,0.54,1.92,3.07,-,67.40%,1543.80%,-48.10%,15.00%,-3.70%,32.91,1.98%,"166,557"
695,GPRK,712.81M,7.15,2.90,-,0.90,-,6.20,6.36,125.90%,-3.02%,26.30%,-,29.00%,12.01,0.87%,"42,520"
696,GRBK,1.14B,5.42,5.29,3.15,0.73,1.40,17.29,-,66.40%,-7.87%,50.30%,1.72%,29.10%,24.11,0.88%,"599,812"
697,GRES,-,-,-,-,-,-,-,-,-,-,-,-,-,30.49,0.16%,"6,301"
698,GRF,34.36M,2.56,-,-,51.45,0.77,-,-,-,-,-,-,-,8.47,0.00%,0
699,GRIN,318.46M,2.31,3.21,-,0.64,0.95,2.99,-,398.30%,-18.10%,36.00%,-,4.20%,17.39,-0.34%,"103,679"
700,GRN,-,-,-,-,-,-,-,-,-,-,-,-,-,30.93,-5.12%,"13,076"
701,GRU,-,-,-,-,-,-,-,-,-,-,-,-,-,5.00,-1.38%,55
702,GRVI,79.33M,28.12,7.26,-,1.98,2.60,17.63,-,154.20%,342.90%,-,-,-,4.79,6.45%,"22,731"
703,GSAQ,323.08M,33.08,-,-,-,1.31,461.54,-,-,-,-,-,-,10.00,0.10%,300
704,GSBC,760.34M,11.34,10.62,1.89,3.91,1.36,2.11,11.37,29.80%,6.63%,11.20%,6.00%,1.40%,60.30,-1.42%,"36,234"
705,GSG,-,-,-,-,-,-,-,-,-,-,-,-,-,22.60,0.02%,"290,667"
706,GSK,101.27B,17.23,11.81,2.10,2.35,5.40,6.13,17.25,-24.10%,8.07%,36.00%,8.20%,4.10%,41.14,0.00%,0
707,GSL,621.53M,2.75,2.16,0.23,1.18,0.80,6.45,2.36,117.20%,14.00%,19.80%,12.00%,21.80%,17.73,1.90%,"269,697"
708,GSM,1.02B,9.95,4.97,0.50,0.48,2.15,5.84,66.87,56.00%,-56.35%,20.50%,20.00%,2.50%,5.49,0.27%,"123,491"
709,GSP,-,-,-,-,-,-,-,-,-,-,-,-,-,23.14,-0.17%,"2,926"
710,GTE,578.71M,-,2.24,-,1.22,1.08,-,2.89,280.00%,51.39%,-26.57%,14.30%,-,1.24,1.64%,"1,746,673"
711,GTLS,5.74B,147.15,19.32,2.66,4.15,3.45,57.62,-,-23.70%,54.31%,21.20%,55.30%,12.80%,159.93,2.53%,"111,364"
712,GUNR,-,-,-,-,-,-,-,-,-,-,-,-,-,38.62,-0.05%,"668,928"
713,GUSH,-,-,-,-,-,-,-,-,-,-,-,-,-,135.15,3.02%,"1,062,136"
714,GWW,23.75B,20.62,16.43,1.43,1.75,11.44,65.26,61.38,54.40%,6.72%,15.10%,14.44%,5.10%,466.91,0.21%,"48,835"
715,H,8.57B,567.14,53.68,-,2.22,2.48,6.57,19.31,69.20%,1066.70%,-27.60%,-,-6.60%,80.53,1.42%,"177,988"
716,HAAC,545.96M,9.69,-,-,-,1.11,1364.91,-,239.30%,-,-,-,-,9.91,0.05%,"19,118"
717,HAE,3.27B,76.60,21.47,7.66,3.29,4.40,12.61,43.16,-45.50%,9.98%,29.60%,10.00%,2.30%,64.68,0.17%,"74,785"
718,HAFC,698.96M,7.13,8.33,0.89,3.16,1.16,2.13,-,133.80%,3.18%,13.00%,8.00%,4.00%,23.62,-0.55%,"26,715"
719,HAL,26.08B,17.02,10.97,0.34,1.62,3.77,12.11,47.85,148.90%,41.32%,17.50%,50.50%,-0.80%,29.27,-0.64%,"6,936,017"
720,HALO,6.62B,16.78,16.59,0.88,14.05,26.49,8.43,23.07,200.60%,35.58%,40.20%,19.00%,24.80%,50.19,0.26%,"350,293"
721,HAP,-,-,-,-,-,-,-,-,-,-,-,-,-,45.04,0.35%,"9,587"
722,HBNC,753.14M,8.67,7.66,-,3.68,1.15,5.04,-,27.60%,6.89%,20.10%,-,13.40%,17.75,-0.42%,"23,907"
723,HBT,505.81M,9.34,8.92,-,3.86,1.37,1.41,12.74,51.00%,8.27%,-9.00%,-,0.10%,18.00,-0.61%,"5,505"
724,HCAR,408.20M,138.87,-,-,-,1.33,1360.68,-,556.00%,-,-,-,-,9.86,0.00%,20
725,HCC,1.59B,5.10,5.38,-,1.30,1.59,3.60,4.52,519.60%,-52.78%,27.80%,-,23.50%,30.96,-1.62%,"126,187"
726,HCCI,671.11M,10.53,13.57,0.70,1.22,1.90,9.44,9.37,408.30%,-8.84%,58.40%,15.00%,8.20%,29.13,1.01%,"26,010"
727,HCKT,623.68M,14.35,12.71,0.93,2.14,4.20,13.05,20.86,625.40%,8.00%,14.80%,15.50%,-0.10%,20.26,0.90%,"24,644"
728,HDGE,-,-,-,-,-,-,-,-,-,-,-,-,-,28.35,-2.98%,"94,689"
729,HDLB,-,-,-,-,-,-,-,-,-,-,-,-,-,15.79,0.52%,112
730,HDSN,347.84M,5.88,8.40,0.20,1.43,3.51,66.89,48.99,667.20%,-28.52%,18.20%,30.00%,12.80%,8.19,3.61%,"266,706"
731,HDV,-,-,-,-,-,-,-,-,-,-,-,-,-,100.51,0.00%,"274,187"
732,HEI,16.69B,58.15,46.97,4.62,8.30,8.05,142.29,47.17,-3.50%,14.91%,13.50%,12.60%,6.30%,142.56,0.97%,"116,136"
733,HERA,1.07B,58.74,-,-,-,1.32,2134.26,-,-,-,-,-,-,9.82,0.10%,"579,970"
734,HES,32.05B,44.64,9.03,0.64,4.06,5.10,23.40,20.01,117.80%,20.82%,15.90%,69.35%,9.40%,105.08,0.95%,"473,588"
735,HESM,7.72B,16.15,11.99,1.17,6.29,4.92,2573.67,13.53,36.20%,17.53%,-13.70%,13.84%,18.70%,29.09,-2.22%,"100,842"
736,HEWJ,-,-,-,-,-,-,-,-,-,-,-,-,-,38.61,0.52%,"104,000"
737,HEWU,-,-,-,-,-,-,-,-,-,-,-,-,-,23.86,-0.52%,"4,049"
738,HFBL,73.23M,14.81,-,-,3.90,1.34,0.93,3.37,46.20%,-,12.50%,-,5.50%,20.75,-3.94%,158
739,HFFG,258.66M,19.29,-,-,0.36,1.04,16.69,32.74,-,-,-,-,-,5.48,1.48%,"2,513"
740,HFRO,821.36M,-,-,-,-,-,-,-,-,-,-,-,-,11.64,1.22%,"96,209"
741,HFWA,908.42M,10.27,11.63,1.47,4.38,1.13,0.57,23.29,111.70%,11.83%,16.00%,7.00%,9.00%,26.39,-0.42%,"73,286"
742,HGLB,219.37M,-,-,-,-,-,-,-,-,-,-,-,-,10.08,1.39%,"18,241"
743,HGTY,3.68B,-,-,-,5.94,52.45,15.48,-,-555.90%,-,-,-,-,11.45,-0.78%,"23,554"
744,HGV,4.63B,19.27,9.09,0.56,1.61,2.29,9.00,13.18,173.70%,31.08%,0.50%,34.15%,8.10%,39.10,-0.71%,"270,724"
745,HHS,85.03M,5.13,8.09,-,0.43,-,8.77,-,617.00%,5.63%,16.20%,-,-13.60%,12.25,0.99%,"24,538"
746,HIE,182.42M,-,-,-,-,-,-,-,-,-,-,-,-,9.89,1.33%,"53,752"
747,HIFS,642.80M,11.13,-,-,5.66,1.87,15.72,-,30.40%,-,20.90%,-,11.40%,318.73,0.16%,205
748,HIG,20.43B,8.73,7.81,0.68,0.91,1.36,91.61,6.42,39.60%,19.38%,33.60%,12.84%,6.50%,63.37,-0.17%,"411,086"
749,HIGA,450.81M,41.29,-,-,-,1.32,-,-,160.10%,-,-,-,-,9.93,0.20%,"5,554"
750,HII,8.27B,15.54,11.43,1.14,0.84,2.94,25.07,62.21,-21.30%,20.35%,2.10%,13.60%,6.10%,207.97,0.41%,"41,091"
751,HIII,735.75M,39.40,-,-,-,1.29,2452.50,-,-,-,-,-,-,9.81,0.00%,0
752,HLAH,319.18M,57.49,-,-,-,1.15,-,-,-,-,-,-,-,9.83,0.00%,0
753,HLI,5.15B,12.55,13.12,1.44,2.27,3.57,6.18,8.41,40.80%,10.09%,31.60%,8.70%,21.10%,80.31,-0.15%,"52,484"
754,HLIT,984.70M,67.76,15.71,3.49,1.81,3.54,9.78,9846.98,141.40%,49.76%,16.40%,19.40%,4.60%,9.96,2.79%,"316,242"
755,HLLY,1.31B,-,13.24,-,1.87,3.98,29.75,-,-182.60%,9.86%,-,-,-,11.92,2.32%,"187,132"
756,HLT,32.91B,46.82,21.51,0.96,4.96,-,22.98,74.97,156.50%,38.09%,75.30%,48.90%,-2.50%,122.76,1.11%,"674,023"
757,HMNF,102.92M,8.68,-,-,3.28,0.99,1.31,4.29,36.10%,-,17.80%,-,3.00%,22.50,-0.31%,329
758,HNNA,78.06M,10.25,-,-,2.34,0.93,1.40,12.80,0.40%,-,-10.50%,-,-8.60%,10.93,2.89%,580
759,HNRG,193.62M,-,7.12,-,0.74,1.16,45.03,11.66,39.60%,0.00%,-18.00%,-,-2.50%,6.47,-0.08%,"47,196"
760,HOLI,950.48M,11.66,6.72,0.90,1.39,0.77,1.33,46.82,11.20%,0.88%,-5.80%,13.02%,1.70%,15.60,1.43%,"96,911"
761,HOLX,17.28B,11.61,19.30,6.83,3.20,3.70,7.54,6.43,71.00%,-34.33%,44.20%,1.70%,14.70%,70.20,-0.41%,"618,387"
762,HOMB,4.41B,12.43,10.69,2.49,7.26,1.35,1.22,17.45,49.20%,16.33%,9.00%,5.00%,7.40%,22.17,0.41%,"433,194"
763,HONE,727.56M,14.17,15.08,-,5.06,1.06,4.99,3.41,37.70%,4.82%,61.70%,-,14.00%,14.40,-0.21%,"35,441"
764,HOPE,1.68B,7.97,7.54,1.00,2.93,0.85,5.40,4.50,84.60%,4.02%,8.60%,8.00%,6.10%,14.55,0.69%,"319,690"
765,HP,4.43B,-,22.76,-,2.85,1.64,12.62,-,32.00%,298.60%,-44.00%,-7.76%,-5.60%,42.37,-0.66%,"216,051"
766,HPE,17.55B,4.96,6.33,1.01,0.63,0.88,5.80,18.27,7.10%,7.29%,6.70%,4.93%,-1.70%,14.02,1.74%,"3,618,273"
767,HPK,2.48B,69.68,2.65,-,8.66,3.30,69.12,-,152.90%,97.92%,-,-,-,23.94,0.17%,"39,314"
768,HPQ,33.44B,5.88,7.62,0.78,0.51,-,-,7.70,166.10%,0.00%,28.40%,7.57%,5.60%,33.10,0.82%,"2,189,500"
769,HRB,5.97B,31.88,12.08,3.19,2.29,135.93,5.73,-,-84.20%,-9.01%,-24.20%,10.00%,-31.30%,37.60,-1.21%,"399,102"
770,HRMY,3.07B,65.44,16.02,-,9.26,14.45,13.66,26.76,152.10%,75.19%,-,-,-,54.13,2.89%,"167,931"
771,HROW,183.97M,-,24.64,-,2.32,19.51,3.64,229.96,-432.70%,318.20%,14.30%,15.00%,29.40%,7.23,0.14%,"21,956"
772,HSBC,125.62B,11.06,-,-,3.43,0.64,0.10,-,222.50%,-,56.80%,-,-3.10%,30.92,-2.06%,"966,426"
773,HSIC,10.57B,16.96,15.04,2.24,0.84,2.98,83.91,16.14,58.50%,6.40%,7.50%,7.57%,1.40%,78.30,0.45%,"231,881"
774,HSON,92.09M,15.42,9.61,2.20,0.49,2.23,4.80,41.86,351.70%,3.40%,19.10%,7.00%,-16.70%,32.20,0.00%,921
775,HST,12.05B,47.96,18.71,1.69,3.38,1.88,28.08,26.13,98.40%,26.73%,-15.10%,28.40%,-11.90%,17.15,0.18%,"2,619,980"
776,HSY,44.65B,31.25,24.96,3.29,4.78,10.85,132.07,49.45,-9.80%,7.58%,10.50%,9.51%,3.80%,215.23,-0.41%,"195,636"
777,HT,395.30M,-,-,-,1.20,0.74,5.11,12.13,66.60%,44.40%,-22.50%,27.80%,-8.70%,10.31,-0.29%,"33,608"
778,HTA,6.54B,69.88,65.94,-,8.41,2.08,600.28,244.14,84.20%,12.15%,6.00%,-,10.70%,29.40,0.65%,"5,117,163"
779,HTBK,664.34M,13.87,8.87,1.98,4.25,1.13,0.53,21.02,34.00%,26.49%,1.80%,7.00%,10.20%,11.28,0.18%,"33,521"
780,HTPA,371.06M,36.67,-,-,-,1.32,1236.85,-,-176.70%,-,-,-,-,9.89,-0.06%,5
781,HUBB,10.15B,26.96,18.64,2.70,2.38,4.69,27.32,74.88,10.20%,10.16%,4.90%,10.00%,3.70%,190.40,-0.69%,"59,590"
782,HUBG,2.48B,10.28,9.95,0.48,0.54,1.72,11.96,48.25,130.70%,-23.21%,24.40%,21.20%,9.00%,73.30,0.23%,"38,299"
783,HUDI,252.01M,96.97,-,-,3.59,5.02,16.36,-,-37.10%,-,-,-,-,19.38,-0.56%,"8,085"
784,HUGS,349.92M,-,-,-,-,1.36,699.85,-,-,-,-,-,-,9.81,-0.05%,"25,460"
785,HUM,60.73B,21.01,17.92,1.48,0.70,4.10,12.49,35.35,-10.50%,12.21%,41.00%,14.23%,8.80%,484.95,-2.09%,"387,059"
786,HUN,6.21B,5.54,6.72,0.48,0.69,1.47,7.69,10.84,304.40%,3.06%,26.90%,11.61%,2.40%,29.50,-1.40%,"492,880"
787,HURN,1.37B,16.63,17.58,1.23,1.39,2.34,141.54,185.53,366.50%,16.43%,9.40%,13.50%,3.00%,65.58,0.27%,"27,585"
788,HUSA,42.72M,-,-,-,30.52,4.41,8.90,-,82.20%,-,29.80%,-,51.60%,4.55,0.11%,"504,071"
789,HWBK,175.44M,7.69,-,-,2.75,1.33,3.18,6.80,60.60%,-,26.20%,-,7.00%,26.12,0.35%,131
790,HWC,3.79B,8.46,7.97,1.06,3.92,1.15,0.99,7.82,8.00%,2.01%,22.80%,8.00%,6.10%,46.79,2.25%,"409,305"
791,HWKN,728.14M,14.42,-,-,0.94,2.43,208.04,227.54,26.60%,-,35.60%,-,9.90%,35.86,1.85%,"6,870"
792,HWM,14.29B,48.43,18.58,1.71,2.81,4.25,27.49,49.80,23.60%,31.63%,17.40%,28.35%,-16.70%,34.62,0.41%,"909,226"
793,HXL,4.70B,91.80,28.76,-,3.35,3.21,41.71,57.72,-45.20%,58.17%,-40.00%,-,-7.90%,56.93,0.67%,"101,525"
794,HZON,651.71M,21.17,-,-,-,1.32,2172.35,-,284.80%,-,-,-,-,9.94,0.10%,"3,405"
795,IAK,-,-,-,-,-,-,-,-,-,-,-,-,-,81.05,0.12%,"8,155"
796,IBCP,405.20M,7.35,7.93,0.92,2.89,1.19,3.18,4.54,14.10%,-2.92%,22.40%,8.00%,9.80%,20.03,0.10%,"18,242"
797,IBN,68.03B,22.18,18.73,-,5.70,3.11,2.78,-,63.70%,-,11.10%,-,8.50%,19.49,-0.92%,"3,145,691"
798,IBOC,2.55B,10.20,-,1.02,6.43,1.22,0.74,13.57,52.60%,-,14.60%,10.00%,0.50%,40.85,-0.92%,"23,940"
799,IBTX,2.86B,13.91,12.11,1.39,4.96,1.17,1.76,-,11.70%,9.79%,12.60%,10.00%,22.70%,69.83,0.04%,"50,281"
800,ICFI,1.71B,24.79,15.75,2.48,1.08,2.15,231.21,26.40,29.50%,9.11%,9.20%,10.00%,5.60%,92.09,0.27%,"17,090"
801,ICL,12.11B,9.60,18.45,2.46,1.52,2.38,-,-,-,8.50%,-3.90%,3.90%,-,9.20,-2.18%,"604,465"
802,IDA,5.36B,21.73,20.30,7.76,3.61,2.00,-,-,3.30%,4.70%,4.30%,2.80%,2.90%,105.04,-0.85%,"77,353"
803,IDU,-,-,-,-,-,-,-,-,-,-,-,-,-,84.53,-0.33%,"29,862"
804,IDX,-,-,-,-,-,-,-,-,-,-,-,-,-,19.41,1.38%,"2,917"
805,IECS,-,-,-,-,-,-,-,-,-,-,-,-,-,32.89,-0.25%,162
806,IEO,-,-,-,-,-,-,-,-,-,-,-,-,-,80.00,1.38%,"61,758"
807,IEZ,-,-,-,-,-,-,-,-,-,-,-,-,-,15.06,-0.99%,"129,295"
808,IFRA,-,-,-,-,-,-,-,-,-,-,-,-,-,35.01,0.10%,"583,796"
809,IFS,2.77B,6.46,5.76,0.87,2.26,1.20,0.30,-,367.20%,7.53%,15.20%,7.40%,4.40%,23.85,-0.38%,"12,835"
810,IGAC,372.38M,30.84,-,-,-,1.33,-,-,189.10%,-,-,-,-,9.93,0.00%,0
811,IGE,-,-,-,-,-,-,-,-,-,-,-,-,-,36.24,0.47%,"137,758"
812,IGF,-,-,-,-,-,-,-,-,-,-,-,-,-,46.53,-0.56%,"214,325"
813,IGT,3.62B,59.91,11.73,1.98,0.88,2.96,6.04,5.97,106.90%,26.88%,-21.40%,30.18%,-4.50%,18.96,-0.47%,"413,444"
814,IHE,-,-,-,-,-,-,-,-,-,-,-,-,-,190.11,-0.12%,"3,004"
815,IHF,-,-,-,-,-,-,-,-,-,-,-,-,-,266.94,-1.52%,"15,627"
816,III,337.11M,21.45,14.49,1.34,1.19,3.53,7.71,12.00,444.20%,15.29%,29.80%,16.00%,5.10%,7.10,0.00%,"33,231"
817,IIIN,756.33M,7.29,8.89,0.56,1.05,2.36,10.85,343.79,247.70%,-39.24%,11.80%,13.00%,7.10%,39.55,0.66%,"21,006"
818,IMAX,1.01B,-,19.34,-,3.66,3.05,6.24,108.84,84.40%,124.57%,-23.70%,36.60%,-7.50%,17.76,0.45%,"127,298"
819,IMCR,1.99B,-,-,-,41.41,10.48,8.18,-,-76.70%,0.50%,-,-,-,45.91,-0.43%,"119,131"
820,IMGO,565.30M,-,-,-,-,2.91,2.75,-,-116.80%,-33.00%,-,-,-,17.77,3.10%,"26,917"
821,IMKTA,1.74B,8.19,-,0.56,0.32,1.56,9.63,7.57,47.30%,-,30.20%,14.50%,5.60%,92.60,0.50%,"36,317"
822,IMLP,-,-,-,-,-,-,-,-,-,-,-,-,-,14.51,0.00%,0
823,IMO,36.96B,80.04,4.60,3.81,0.86,1.35,11.74,8.46,97.90%,-3.76%,2.98%,21.00%,-,44.98,0.00%,"354,524"
824,IMPX,496.52M,-,-,-,-,1.40,827.53,-,124.00%,-,-,-,-,9.94,0.05%,"160,339"
825,IMXI,861.88M,17.76,12.25,32.28,1.80,5.65,5.48,6.59,36.00%,18.39%,-,0.55%,-,22.43,-0.20%,"191,997"
826,INBK,368.98M,8.07,7.16,-,2.70,1.03,0.68,18.36,61.20%,16.14%,15.90%,-,17.80%,38.94,-1.64%,"9,270"
827,INCO,-,-,-,-,-,-,-,-,-,-,-,-,-,51.41,-0.56%,"4,663"
828,INCR,272.21M,-,2.20,-,-,-,-,-,-,100.70%,-,-,-,6.07,0.33%,"15,643"
829,INCY,17.93B,19.37,17.85,1.30,5.76,4.66,7.05,29.43,415.00%,42.18%,51.40%,14.90%,22.00%,82.36,1.22%,"667,180"
