No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
174,BENE,142.14M,-,-,-,-,1.62,-,-,-,-,-,-,-,10.37,0.10%,"3,693"
175,BF-A,11.83B,43.71,-,-,3.16,11.44,-,-,-,-,-,-,-,69.64,-0.43%,"21,551"
176,BF-B,34.05B,40.94,32.99,4.82,8.66,12.50,39.23,-,-7.20%,9.74%,4.90%,8.49%,5.60%,70.96,-0.61%,"616,164"
177,BFS,1.13B,28.60,-,3.76,4.66,5.26,91.75,17.91,25.80%,-,0.60%,7.60%,2.00%,48.61,0.14%,"4,889"
178,BG,13.53B,7.21,7.72,-,0.22,1.49,8.42,-,79.10%,-8.86%,22.60%,-4.85%,6.70%,91.66,1.84%,"553,088"
179,BGI,94.08M,97.12,-,-,0.68,21.04,62.72,8.79,121.10%,-,16.80%,-,9.30%,5.10,0.99%,"8,579"
180,BGR,312.04M,4.13,-,-,27.28,1.05,-,-,-,-,-,-,-,10.88,1.48%,"23,891"
181,BGSF,126.65M,10.81,9.41,0.54,0.53,1.39,-,-,599.70%,28.22%,4.10%,20.00%,-1.20%,12.40,1.72%,"63,450"
182,BHB,402.81M,10.75,8.61,-,3.69,1.02,3.40,8.99,20.00%,11.24%,9.80%,-,14.00%,28.10,1.15%,"7,155"
183,BHF,3.03B,3.23,2.84,0.09,0.34,0.25,0.74,4.41,79.70%,25.27%,37.40%,35.70%,18.60%,41.79,0.34%,"130,622"
184,BHR,362.03M,-,22.52,-,0.72,0.79,1.95,6.34,78.20%,76.92%,-28.70%,15.30%,1.00%,5.29,2.12%,"157,563"
185,BHVN,10.30B,-,-,-,13.96,-,17.09,-,-0.30%,55.70%,-38.00%,-,-,145.99,0.03%,"259,520"
186,BIP,24.52B,32.25,39.48,-,2.00,2.06,9.14,-,403.20%,100.21%,12.90%,-2.53%,40.40%,37.77,0.80%,"58,389"
187,BIS,-,-,-,-,-,-,-,-,-,-,-,-,-,23.43,-1.09%,"108,534"
188,BITE,252.30M,-,-,-,-,1.26,-,-,-,-,-,-,-,9.84,0.00%,109
189,BJ,9.36B,20.72,18.80,3.19,0.54,12.84,246.30,32.54,1.90%,10.85%,54.30%,6.50%,6.20%,69.22,0.40%,"622,029"
190,BKEP,191.07M,18.81,28.56,4.70,1.64,0.49,173.70,29.40,113.80%,14.29%,17.30%,4.00%,-8.20%,4.58,0.22%,"95,560"
191,BKH,4.64B,18.03,16.91,3.86,2.17,1.63,284.57,-,2.60%,5.10%,7.70%,4.67%,4.80%,71.51,-1.37%,"61,468"
